experiment,subset,alpha,rank,past_window,coverage,volume,time
past_window_ablation,eth,0.1,,20,0.8918918918918919,7.592053867960131e-06,19.3443341255188
past_window_ablation,eth,0.1,,50,0.918918918918919,1.0822335438917788e-05,18.422099590301514
past_window_ablation,eth,0.1,,75,0.8378378378378378,9.719926658096244e-06,18.42159676551819
past_window_ablation,eth,0.1,,100,0.8918918918918919,1.4078708657977667e-05,18.494423389434814
past_window_ablation,eth,0.1,,150,0.8918918918918919,2.603527013644334e-05,18.432327032089233
past_window_ablation,eth,0.1,,200,0.8108108108108109,5.881961353806007e-06,18.6351900100708
past_window_ablation,hotel,0.1,,20,0.7333333333333333,3.91591652401386e-10,177.33732390403748
past_window_ablation,hotel,0.1,,50,0.7333333333333333,3.787179438623826e-10,104.53427171707153
past_window_ablation,hotel,0.1,,75,0.75,5.822364792998853e-10,121.54904580116272
past_window_ablation,hotel,0.1,,100,0.7333333333333333,1.6952451512009304e-09,144.71687841415405
past_window_ablation,hotel,0.1,,150,0.75,3.3276380369376026e-10,133.10477828979492
past_window_ablation,hotel,0.1,,200,0.725,2.8842327031707633e-10,135.9331569671631
