experiment,subset,alpha,rank,coverage,volume,time
rank_ablation,eth,0.1,4,0.972972972972973,703.7833761759912,19.469961404800415
rank_ablation,eth,0.1,8,0.8378378378378378,775.9828257434241,18.37018656730652
rank_ablation,eth,0.1,12,0.8918918918918919,269.98713966834333,18.5694477558136
rank_ablation,eth,0.1,16,0.8648648648648649,1.4283280039595223,18.727431297302246
rank_ablation,eth,0.1,20,0.8918918918918919,0.008906682203045923,18.44366693496704
rank_ablation,eth,0.1,full,0.9459459459459459,1.2774341087734298e-05,18.542286157608032
rank_ablation,hotel,0.1,4,0.9,623.0906195025066,190.96545910835266
rank_ablation,hotel,0.1,8,0.8666666666666667,180.94810933701154,123.96619272232056
rank_ablation,hotel,0.1,12,0.7666666666666667,0.42864056781104765,109.43737077713013
rank_ablation,hotel,0.1,16,0.8666666666666667,0.00018194642468394052,120.05338406562805
rank_ablation,hotel,0.1,20,0.8333333333333334,2.9397891729578447e-07,138.7833514213562
rank_ablation,hotel,0.1,full,0.75,4.0830870831658406e-10,125.45025730133057
